No,Nomor KA,Relasi,CKR,TLM,CIT,TB,BKST,BKS,KRI,CUK,KLDB,BUA,KLD,JNG,POK,KMT,GST,PSE,KMO,RJW,MTR,MRI,SUD,SUDB,KAT,THB,DU,AK,KPB,JAKK,Keterangan
1,5701,Mri-Kpb,,,,,,,,,,,,,,,,,,,,04:12,04:16,04:17,04:19,04:24,04:32,04:36,04:44,,
2,5703,Mri-Ak,,,,,,,,,,,,,,,,,,,,04:25,04:29,04:30,04:32,04:37,04:45,04:48,,,
3,5021,Bks-Mri-Ak,,,,,,04:28,04:31,04:36,04:40,04:41,04:43,04:49,,,,,,,04:51,04:56,05:00,05:01,05:02,05:07,05:15,05:18,,,
4,5023,Bks-Mri-Ak,,,,,,04:36,04:39,04:44,04:48,04:49,04:51,04:57,,,,,,,04:59,05:05,05:09,05:10,05:11,05:17,05:25,05:28,,,
5,5027,Ckr-Mri-Ak,04:12,04:16,04:18,04:32,04:36,04:42,04:45,04:50,04:54,04:55,04:57,05:03,,,,,,,05:05,05:10,05:14,05:15,05:16,05:22,05:30,05:34,05:42,,
6,5505 - 5506,Ckr-Mri-Kpb - Kpb-Pse-Bks,04:28,04:32,04:34,04:41,04:45,04:50,04:53,04:58,05:02,05:03,05:05,05:11,,,,,,,05:13,05:19,05:23,05:24,05:25,05:31,05:40,05:45,05:53,,Full Racket
7,5029,Ckr-Mri-Ak,04:34,04:38,04:40,04:47,04:51,04:57,05:00,05:05,05:09,05:10,05:12,05:18,,,,,,,05:20,05:26,05:30,05:31,05:32,05:38,05:46,05:50,05:58,,
8,6001 - 6002,Bks-Pse-Kpb - Kpb-Mri-Ckr,,,,,,05:04,05:07,05:12,05:16,05:17,05:19,05:26,05:28,05:30,05:31,05:38,05:42,05:44,,,,,,,,,05:49,,Full Racket
9,5507 - 5508,Ckr-Mri-Kpb - Kpb-Pse-Bks,04:44,04:48,04:50,05:03,05:07,05:13,05:16,05:21,05:25,05:26,05:28,05:34,,,,,,,05:36,05:41,05:45,05:46,05:47,05:53,06:01,06:05,06:12,,Full Racket
10,5031,Bks-Mri-Kpb,,,,,,05:23,05:26,05:31,05:35,05:36,05:38,05:45,,,,,,,05:47,05:52,05:56,05:57,05:58,06:04,06:12,06:16,06:24,,
11,6003 - 6004,Bks-Pse-Kpb - Kpb-Mri-Ckr,,,,,,05:28,05:31,05:36,05:40,05:41,05:43,05:51,05:53,05:55,05:56,06:03,06:07,06:09,,,,,,,,,06:14,,Full Racket
12,5033,Ckr-Mri-Ak,05:11,05:15,05:17,05:24,05:28,05:33,05:36,05:42,05:46,05:47,05:49,05:56,,,,,,,05:58,06:05,06:09,06:10,06:11,06:17,06:25,06:28,,,
13,5509 - 5510,Ckr-Mri-Kpb - Kpb-Pse-Ckr,05:19,05:23,05:25,05:32,05:36,05:42,05:45,05:50,05:54,05:55,05:57,06:04,,,,,,,06:06,06:12,06:16,06:17,06:18,06:23,06:31,06:35,06:42,,Full Racket
14,5037,Bks-Mri-Kpb,,,,,,05:49,05:52,05:57,06:01,06:02,06:04,06:10,,,,,,,06:12,06:17,06:21,06:22,06:23,06:28,06:36,06:40,06:47,,
15,5707,Mri-Ak,,,,,,,,,,,,,,,,,,,,06:21,06:25,06:26,06:27,06:33,06:41,06:44,,,
16,5511 - 5512,Ckr-Mri-Kpb - Kpb-Pse-Bks,05:33,05:37,,05:46,05:50,05:56,05:59,06:05,06:09,06:10,06:12,06:23,,,,,,,06:25,06:33,06:37,06:38,06:39,06:46,06:54,06:59,07:07,,Full Racket
17,6005 - 6006,Bks-Pse-Kpb - Kpb-Mri-Bks,,,,,,06:03,06:06,06:11,06:15,06:16,06:18,06:24,06:26,06:28,06:29,06:36,06:40,06:42,,,,,,,,,06:47,,Full Racket
18,5039,Ckr-Mri-Ak,05:48,05:52,05:54,06:01,06:05,06:10,06:13,06:18,06:22,06:23,06:25,06:30,,,,,,,06:32,06:39,06:43,06:44,06:45,06:51,06:59,07:02,,,
19,5041,Bks-Mri-Ak,,,,,,06:15,06:18,06:23,06:27,06:28,06:30,06:37,,,,,,,06:39,06:45,06:49,06:50,06:51,06:56,07:04,07:08,07:15,,
20,5043,Ckr-Mri-Ak,05:54,05:58,06:00,06:12,06:16,06:22,06:25,06:30,06:34,06:35,06:37,06:43,,,,,,,06:45,06:51,06:55,06:56,06:57,07:02,07:10,07:13,,,
21,5513 - 5514,Mri-Kpb - Kpb-Pse-Ckr,,,,,,,,,,,,,,,,,,,,06:56,07:00,07:01,07:03,07:08,07:16,07:20,07:28,,Full Racket
22,6007 - 6008,Ckr-Pse-Kpb - Kpb-Mri-Bks,06:06,06:10,06:12,06:19,06:23,06:28,06:31,06:36,06:40,06:41,06:43,06:51,06:53,06:55,06:56,07:03,07:07,07:09,,,,,,,,,07:14,,Full Racket
23,5045,Bks-Mri-Ak,,,,,,06:34,06:37,06:42,06:46,06:47,06:49,06:54,,,,,,,06:56,07:05,07:09,07:10,07:11,07:17,07:25,07:28,,,
24,5049,Ckr-Mri-Ak,06:19,06:23,06:25,06:32,06:36,06:41,06:44,06:49,06:53,06:54,06:56,07:03,,,,,,,07:05,07:10,07:14,07:15,07:16,07:22,07:30,07:34,07:42,,
