No,Nomor KA,Relasi,RK,CTR,MJ,CKY,TGS,TEJ,DAR,CJT,PRP,CC,CSK,SRP,RU,SDM,JMU,PDJ,KBY,PLM,THB,Keterangan
1,1613,Prp-Thb,,,,,,,,,03:51,03:58,04:02,04:06,04:10,04:15,04:18,04:21,04:29,04:35,04:40,
2,1615,Srp-Thb,,,,,,,,,,,,04:24,04:28,04:34,04:37,04:40,04:48,04:54,04:59,
3,1617,Prp-Thb,,,,,,,,,04:21,04:28,04:33,04:37,04:41,04:46,04:49,04:52,05:00,05:07,05:12,
4,1619,Prp-Thb,,,,,,,,,04:36,04:43,04:47,04:51,04:55,05:00,05:03,05:06,05:14,05:20,05:25,
5,1621,Rk-Thb,04:00,04:12,04:21,04:24,04:28,04:32,04:37,04:40,04:49,04:56,04:59,05:03,05:07,05:12,05:15,05:18,05:26,05:32,05:37,
6,1623,Srp-Thb,,,,,,,,,,,,05:12,05:16,05:22,05:25,05:28,05:36,05:42,05:47,
7,1625,Rk-Thb,04:20,04:32,04:41,04:44,04:48,04:52,04:57,05:00,05:09,05:16,05:19,05:23,05:27,05:32,05:35,05:38,05:46,05:52,05:57,
8,1627F,Tgs-Thb,,,,,04:59,05:03,05:09,05:12,05:21,05:28,05:31,05:35,05:39,05:44,05:47,05:50,05:58,06:04,06:09,Weekdays Only
9,1629,Rk-Thb,04:40,04:52,05:02,05:05,05:09,05:13,05:18,05:21,05:30,05:37,05:40,05:44,05:48,05:53,05:56,05:59,06:07,06:13,06:18,
10,1631F,Prp-Thb,,,,,,,,,05:38,05:45,05:49,05:53,05:57,06:02,06:05,06:08,06:16,06:22,06:27,Weekdays Only
11,1633,Rk-Thb,05:00,05:12,05:21,05:24,05:28,05:32,05:37,05:40,05:49,05:56,05:59,06:03,06:07,06:12,06:15,06:18,06:26,06:32,06:37,
12,1635,Srp-Thb,,,,,,,,,,,,06:12,06:16,06:22,06:25,06:28,06:36,06:42,06:47,
13,1637,Rk-Thb,05:20,05:32,05:41,05:44,05:48,05:52,05:57,06:00,06:09,06:16,06:19,06:23,06:27,06:32,06:35,06:38,06:46,06:52,06:57,
14,1639F,Tgs-Thb,,,,,05:58,06:02,06:08,06:11,06:20,06:27,06:30,06:34,06:38,06:43,06:46,06:49,06:57,07:03,07:08,Weekdays Only
15,1641,Rk-Thb,05:40,05:52,06:01,06:04,06:08,06:12,06:17,06:20,06:29,06:36,06:39,06:43,06:47,06:52,06:55,06:58,07:06,07:12,07:17,
16,1643,Prp-Thb,,,,,,,,,06:38,06:45,06:49,06:53,06:57,07:02,07:05,07:08,07:16,07:22,07:27,
17,1645,Rk-Thb,06:00,06:12,06:21,06:24,06:28,06:32,06:37,06:40,06:49,06:56,06:59,07:03,07:07,07:12,07:15,07:18,07:26,07:32,07:37,
18,1647F,Srp-Thb,,,,,,,,,,,,07:14,07:18,07:24,07:27,07:30,07:38,07:44,07:49,Weekdays Only
19,1649,Rk-Thb,06:20,06:32,06:41,06:44,06:48,06:52,06:57,07:00,07:10,07:17,07:20,07:24,07:28,07:33,07:36,07:39,07:47,07:53,07:58,
20,1651,Tgs-Thb,,,,,06:59,07:03,07:09,07:12,07:21,07:28,07:31,07:35,07:39,07:44,07:47,07:50,07:58,08:04,08:09,
